station,year,month,tmean,tmin,tmax,rh,wind,rainfall,sunshine,solar_rad,evaporation,eto,date,month_sin,month_cos
الخالص,1994,1,11.3,6.2,17.6,82.0,1.5,28.8,5.5,281.18399999999997,42.9,38.45,1994-01-01,0.49999999999999994,0.8660254037844387
بلدروز,1994,1,10.3,5.4,17.2,71.0,2.1,1.6,6.1,300.672,67.0,48.36,1994-01-01,0.49999999999999994,0.8660254037844387
خانقين,1994,1,11.8,6.5,18.2,81.0,1.4,71.3,5.5,272.832,50.9,,1994-01-01,0.49999999999999994,0.8660254037844387
الخالص,1994,2,11.5,5.6,18.4,68.0,2.0,7.2,7.1,384.192,62.7,58.42,1994-02-01,0.8660254037844386,0.5000000000000001
بلدروز,1994,2,13.6,7.1,19.6,69.0,2.3,0.9,6.8,378.624,89.7,61.65,1994-02-01,0.8660254037844386,0.5000000000000001
خانقين,1994,2,11.5,5.3,18.1,80.0,2.4,13.8,6.5,361.9199999999999,47.2,,1994-02-01,0.8660254037844386,0.5000000000000001
الخالص,1994,3,16.5,9.8,23.1,62.0,2.5,28.9,7.3,470.49599999999987,122.9,99.18,1994-03-01,1.0,6.123233995736766e-17
بلدروز,1994,3,16.3,11.4,23.7,56.0,2.7,1.0,8.4,512.256,162.4,112.6,1994-03-01,1.0,6.123233995736766e-17
خانقين,1994,3,16.1,9.7,23.6,69.0,1.9,47.5,7.1,459.36,122.0,,1994-03-01,1.0,6.123233995736766e-17
الخالص,1994,4,23.5,16.5,31.6,53.0,2.9,1.1,8.9,601.344,185.8,160.89,1994-04-01,0.8660254037844387,-0.4999999999999998
بلدروز,1994,4,23.1,17.2,31.9,41.0,3.2,0.0,8.1,570.7199999999999,240.0,175.38,1994-04-01,0.8660254037844387,-0.4999999999999998
خانقين,1994,4,24.1,15.1,32.5,61.0,2.9,22.2,8.1,565.1519999999999,160.4,,1994-04-01,0.8660254037844387,-0.4999999999999998
الخالص,1994,5,27.3,18.2,36.1,43.0,2.2,1.0,10.5,704.352,272.7,197.72,1994-05-01,0.49999999999999994,-0.8660254037844387
بلدروز,1994,5,31.6,22.8,37.4,24.0,2.9,0.0,10.3,696.0,358.7,239.62,1994-05-01,0.49999999999999994,-0.8660254037844387
خانقين,1994,5,28.8,19.0,37.3,40.0,2.4,5.3,10.0,682.08,355.5,,1994-05-01,0.49999999999999994,-0.8660254037844387
الخالص,1994,6,31.0,21.5,40.0,41.0,3.3,0.0,12.5,796.224,347.1,255.71,1994-06-01,1.2246467991473532e-16,-1.0
بلدروز,1994,6,34.2,25.4,42.8,21.0,3.5,0.0,12.1,779.52,427.0,290.53,1994-06-01,1.2246467991473532e-16,-1.0
خانقين,1994,6,32.9,23.0,41.8,34.0,2.2,0.8,12.2,782.3039999999999,519.6,,1994-06-01,1.2246467991473532e-16,-1.0
الخالص,1994,7,32.5,23.4,41.8,41.0,3.7,0.0,12.5,787.8720000000001,312.6,283.46,1994-07-01,-0.4999999999999997,-0.8660254037844388
بلدروز,1994,7,36.4,28.4,43.3,24.0,3.7,0.0,11.6,751.6800000000001,483.3,310.45,1994-07-01,-0.4999999999999997,-0.8660254037844388
خانقين,1994,7,35.2,25.8,43.9,39.0,2.2,0.0,12.0,765.5999999999999,542.4,,1994-07-01,-0.4999999999999997,-0.8660254037844388
الخالص,1994,8,31.2,21.7,41.7,39.0,2.5,0.0,12.1,737.76,297.0,240.25,1994-08-01,-0.8660254037844384,-0.5000000000000004
بلدروز,1994,8,35.3,25.6,44.1,22.0,2.9,0.0,12.0,734.9759999999999,474.1,274.94,1994-08-01,-0.8660254037844384,-0.5000000000000004
خانقين,1994,8,33.7,24.1,43.3,34.0,1.7,0.0,11.7,718.272,502.5,,1994-08-01,-0.8660254037844384,-0.5000000000000004
الخالص,1994,9,29.4,20.5,39.2,45.0,1.0,0.4,9.7,579.072,242.0,145.33,1994-09-01,-1.0,-1.8369701987210297e-16
بلدروز,1994,9,32.6,24.3,41.1,25.0,1.4,0.001,9.9,590.208,345.6,166.24,1994-09-01,-1.0,-1.8369701987210297e-16
خانقين,1994,9,32.3,24.5,40.9,31.0,1.9,0.1,9.7,573.504,389.6,,1994-09-01,-1.0,-1.8369701987210297e-16
الخالص,1994,10,24.0,17.3,32.41,60.0,1.3,32.3,7.6,423.168,162.5,107.84,1994-10-01,-0.8660254037844386,0.5000000000000001
بلدروز,1994,10,25.8,19.0,33.5,45.0,1.5,111.8,8.1,442.65599999999995,202.3,125.17,1994-10-01,-0.8660254037844386,0.5000000000000001
خانقين,1994,10,25.5,18.6,33.8,29.0,1.7,52.0,8.0,428.736,229.3,,1994-10-01,-0.8660254037844386,0.5000000000000001
الخالص,1994,11,15.5,11.0,21.1,82.0,1.8,47.6,5.8,300.672,56.3,56.22,1994-11-01,-0.5000000000000004,0.8660254037844384
بلدروز,1994,11,17.2,13.6,21.9,74.0,2.3,166.2,5.3,289.536,91.9,66.89,1994-11-01,-0.5000000000000004,0.8660254037844384
خانقين,1994,11,15.6,11.5,21.1,68.0,1.7,132.3,5.1,275.616,62.0,,1994-11-01,-0.5000000000000004,0.8660254037844384
الخالص,1994,12,7.7,3.2,13.2,78.0,1.8,38.5,5.3,256.128,40.5,35.48,1994-12-01,-2.4492935982947064e-16,1.0
بلدروز,1994,12,8.6,4.8,13.6,74.0,1.8,25.2,5.8,272.832,48.7,40.03,1994-12-01,-2.4492935982947064e-16,1.0
خانقين,1994,12,7.8,3.7,13.8,66.0,1.3,50.8,4.9,239.42399999999998,55.4,,1994-12-01,-2.4492935982947064e-16,1.0
الخالص,1995,1,10.3,5.6,16.3,82.0,1.3,8.4,6.1,295.104,44.1,36.57,1995-01-01,0.49999999999999994,0.8660254037844387
بلدروز,1995,1,11.7,6.7,17.4,73.0,2.3,2.2,6.7,314.592,71.6,50.68,1995-01-01,0.49999999999999994,0.8660254037844387
