station,variable,valid_count,missing_count,coverage_percent,minimum,maximum,mean,std
الخالص,tmean,336,0,100.0,6.1,37.5,22.36696428571429,8.959218266732845
الخالص,tmin,336,0,100.0,0.1,28.8,14.46897619047619,7.591351053491194
الخالص,tmax,336,0,100.0,12.0,46.4,30.397913580246918,10.1455005188522
الخالص,rh,336,0,100.0,20.895,91.0,50.21626116666667,16.3652029385266
الخالص,wind,336,0,100.0,0.6,5.0,2.3846362857142855,0.8181936885689448
الخالص,rainfall,336,0,100.0,0.0,133.4,12.472506468253968,19.08744354462769
الخالص,sunshine,336,0,100.0,3.4,13.0,8.511221654423226,2.2075680112838927
الخالص,solar_rad,336,0,100.0,208.79999999999998,815.712,515.8358452380952,173.2504209506286
الخالص,evaporation,335,1,99.7,29.8,502.8,198.77777387831054,120.25631960951861
الخالص,eto,336,0,100.0,31.37,348.48,146.42583333333334,81.5800545488847
بلدروز,tmean,300,0,100.0,8.6,40.2,24.872,9.84525394547221
بلدروز,tmin,300,0,100.0,2.5,31.2,17.820666666666668,8.31768713564718
بلدروز,tmax,300,0,100.0,12.8,48.8,32.176633333333335,10.608897493092865
بلدروز,rh,300,0,100.0,15.0,84.0,40.596999999999994,19.38932810804968
بلدروز,wind,300,0,100.0,1.3,5.7,2.8339999999999996,0.7819305497391598
بلدروز,rainfall,300,0,100.0,0.0,175.3,16.140420000000002,26.19910858558354
بلدروز,sunshine,300,0,100.0,4.3,13.3,8.763370916538658,2.2077956005185144
بلدروز,solar_rad,300,0,100.0,233.856,829.632,527.0701066666666,172.7909709317022
بلدروز,evaporation,300,0,100.0,46.9,589.1,257.35333333333335,152.9937420481916
بلدروز,eto,300,0,100.0,39.62,376.93,174.63906666666668,97.1027762991989
خانقين,tmean,360,0,100.0,6.7,39.6,23.37041822222222,9.563907508374884
خانقين,tmin,360,0,100.0,1.4,32.0,16.12038888888889,8.238125031013864
خانقين,tmax,360,0,100.0,12.0,47.8,31.202536666666663,10.678497788230697
خانقين,rh,360,0,100.0,18.0,85.0,47.20538888888888,19.774118163699875
خانقين,wind,360,0,100.0,0.2,4.8,1.4689444444444442,0.7949485344300272
خانقين,rainfall,360,0,100.0,0.0,185.5,23.34381611111111,33.62854974413524
خانقين,sunshine,360,0,100.0,3.9,12.8,7.920735817217825,2.1696303434705086
خانقين,solar_rad,360,0,100.0,217.15199999999996,807.36,490.11864444444444,170.01117016484622
خانقين,evaporation,360,0,100.0,27.1,685.3,267.62728740458954,174.995917500173
خانقين,eto,0,360,0.0,,,,
