feature,importance_mean,importance_std,feature_ar
month_cos,51.70201167501412,3.796211123201721,جيب تمام الشهر
month_sin,41.16594651363464,5.011524621628355,جيب الشهر
tmax,40.48447458777789,3.545317064928554,درجة الحرارة العظمى
tmin,27.243865630648553,2.586929072176847,درجة الحرارة الصغرى
solar_rad,26.785045179214528,2.378393268816612,الإشعاع الشمسي
tmean,25.84391356127877,2.593065737736616,درجة الحرارة الاعتيادية
rh,25.50381042422663,3.9863764579718897,الرطوبة النسبية
station,23.16506373048662,2.413177410283808,station
rainfall,13.395410671329216,3.0622672555137114,الأمطار
wind,6.74754476274579,1.0724497594335747,سرعة الرياح
sunshine,4.5821016977086275,1.973589051341552,السطوع الشمسي
