model,month,month_name,n,MAE,RMSE,MAPE,R2,NSE
Random Forest,1,Jan,15,10.584330570313435,12.688889405042401,18.828326834970444,0.23358449848012885,0.23358449848012885
Seasonal Climatology,1,Jan,15,11.745822598257776,13.882569027339471,19.17500181414076,0.08260421789701988,0.08260421789701988
SVR-RBF,1,Jan,15,12.339669226208988,14.554406631794064,19.60830360363802,-0.008337838626790273,-0.008337838626790273
Gradient Boosting,1,Jan,15,13.342911980490344,15.825081696675834,22.603892526934853,-0.19208981481113452,-0.19208981481113452
Persistence t-12,1,Jan,15,15.900800000000002,18.257997261474216,26.26740406984599,-0.586804162815324,-0.586804162815324
Linear Regression,1,Jan,15,36.62388059188405,40.89805249833037,63.10168974974501,-6.962002545045252,-6.962002545045252
Seasonal Climatology,2,Feb,15,22.27423134799644,32.147782544781414,16.015231164800756,0.15822651005308808,0.15822651005308808
Persistence t-12,2,Feb,15,24.623520255999992,32.50143850288087,20.014725503675745,0.13960403179325664,0.13960403179325664
Random Forest,2,Feb,15,27.08755763073616,36.89798944118641,21.712574653041354,-0.10891588538496144,-0.10891588538496144
Linear Regression,2,Feb,15,30.65477659088655,37.69389613314411,26.985079707641063,-0.15727150384738753,-0.15727150384738753
Gradient Boosting,2,Feb,15,28.373013520412727,37.9567079962379,22.33714736633313,-0.1734653707657725,-0.1734653707657725
SVR-RBF,2,Feb,15,29.86364228927017,42.68134428680129,23.330579142022696,-0.48377954349752583,-0.48377954349752583
SVR-RBF,3,Mar,15,20.982627052443544,26.948904958193836,14.656595364202238,0.26878769388858303,0.26878769388858303
Random Forest,3,Mar,15,25.638870556429552,32.7253693045252,19.12483930893351,-0.07827704260363189,-0.07827704260363189
Gradient Boosting,3,Mar,15,26.11575419155423,32.83158752921513,19.25750295438653,-0.08528802812278569,-0.08528802812278569
Seasonal Climatology,3,Mar,15,25.724230226526814,35.00515654526321,19.066900699882112,-0.23374468491154632,-0.23374468491154632
Linear Regression,3,Mar,15,27.60489915304025,37.19686495258424,19.407709849269953,-0.39307315169077417,-0.39307315169077417
Persistence t-12,3,Mar,15,35.22,51.33436979386553,25.41002337993768,-1.65324720793101,-1.65324720793101
Linear Regression,4,Apr,15,21.0095802815719,25.515425518470924,8.947313773473113,0.6398701006231057,0.6398701006231057
Persistence t-12,4,Apr,15,27.827163733333343,36.745354378300924,11.38584799232951,0.2531069313035197,0.2531069313035197
Random Forest,4,Apr,15,27.876332909840016,37.563869206605,10.294615658918932,0.2194617537890564,0.2194617537890564
Seasonal Climatology,4,Apr,15,31.468997844574822,38.467356035387,11.833032584258087,0.18146317411075208,0.18146317411075208
SVR-RBF,4,Apr,15,31.609341189423297,39.034514526385216,12.163130073207371,0.15714840377490347,0.15714840377490347
Gradient Boosting,4,Apr,15,29.182104109474764,41.85609176767791,10.843268048948053,0.030894858247089374,0.030894858247089374
SVR-RBF,5,May,15,25.707277490282824,30.952840246730084,9.09588217848738,0.6507375215147971,0.6507375215147971
Gradient Boosting,5,May,15,27.9597648917629,32.9170461315999,9.200854475346125,0.6050040603529178,0.6050040603529178
Linear Regression,5,May,15,30.263852843803775,36.43355874871886,10.669282318826522,0.516101687548179,0.516101687548179
Random Forest,5,May,15,30.685986375831035,36.852423980978806,10.178893092838209,0.504911273691083,0.504911273691083
Seasonal Climatology,5,May,15,32.37956656002845,43.474267588609784,11.424513177148397,0.31100595636856276,0.31100595636856276
Persistence t-12,5,May,15,44.33132800000001,62.19239247150325,15.066986421345005,-0.4100205655311988,-0.4100205655311988
Linear Regression,6,Jun,15,20.134053306504825,26.31677039033819,4.767367720935005,0.6800849189542328,0.6800849189542328
