model,station,n,MAE,RMSE,MAPE,R2,NSE
Random Forest,الخالص,60,20.207728937730142,26.508453461280883,12.537889634593851,0.9576292027512858,0.9576292027512858
Gradient Boosting,الخالص,60,20.45206475148501,28.20307323685951,11.532388199990997,0.9520387245635348,0.9520387245635348
Persistence t-12,الخالص,60,20.728426666666667,28.911141477568826,13.422300085816103,0.9496002559018147,0.9496002559018147
SVR-RBF,الخالص,60,22.35320499184157,29.010305360700247,13.941891164465606,0.9492539253698135,0.9492539253698135
Seasonal Climatology,الخالص,60,19.29140180513375,29.548109908487827,9.991999291250181,0.9473549836371123,0.9473549836371123
Linear Regression,الخالص,60,27.466914184247678,35.11779719034476,24.38225389776901,0.9256377732198722,0.9256377732198722
SVR-RBF,بلدروز,60,19.7093756955234,26.073499052545653,11.012402618366739,0.9686430620314738,0.9686430620314738
Seasonal Climatology,بلدروز,60,22.30296296296296,29.99219816247692,11.293335242399333,0.9585092193506908,0.9585092193506908
Linear Regression,بلدروز,60,26.21028924632058,31.948546237742768,15.41574219018799,0.952919917553361,0.952919917553361
Random Forest,بلدروز,60,24.838364890090062,33.732398324338575,13.282791804885452,0.947515694784079,0.947515694784079
Gradient Boosting,بلدروز,60,27.690680677246608,37.58256960481481,13.875768953921721,0.9348509700813395,0.9348509700813395
Persistence t-12,بلدروز,60,30.104999999999993,40.67168343372736,15.01808492299976,0.9237009185533321,0.9237009185533321
Seasonal Climatology,خانقين,60,23.708728427209014,32.552912957306965,13.689047094564641,0.9642900957676299,0.9642900957676299
SVR-RBF,خانقين,60,31.385080630505684,39.515281748952056,16.405125034572656,0.947381418356149,0.947381418356149
Random Forest,خانقين,60,34.58091532645869,42.71949807021552,17.688702795131807,0.9385019628824709,0.9385019628824709
Persistence t-12,خانقين,60,30.501587157333333,45.5143049780209,19.073139657861834,0.9301920632539626,0.9301920632539626
Gradient Boosting,خانقين,60,38.89149446159306,48.699201540635066,19.602787271011167,0.9200805193533557,0.9200805193533557
Linear Regression,خانقين,60,38.414483427477535,48.72428672397264,21.459902143595027,0.9199981643618833,0.9199981643618833
