mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__C,param_model__epsilon,param_model__gamma,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,mean_test_score,std_test_score,rank_test_score
0.03089362382888794,0.008935424239292385,0.0049683451652526855,0.000390594994799288,500,0.01,scale,"{'model__C': 500, 'model__epsilon': 0.01, 'model__gamma': 'scale'}",-59.549405674577486,-34.8827543272716,-60.68416487100351,-50.16192963390552,-51.31956362668953,10.331201200790646,1
0.026963412761688232,0.007919298686563025,0.004723966121673584,0.00017978178790189014,500,0.05,scale,"{'model__C': 500, 'model__epsilon': 0.05, 'model__gamma': 'scale'}",-59.56135954095549,-34.882262712649265,-60.69911564619334,-50.15977288349981,-51.32562769582448,10.33722671699171,2
0.03094327449798584,0.007058304916281717,0.005764424800872803,0.0008433326762853073,500,0.1,scale,"{'model__C': 500, 'model__epsilon': 0.1, 'model__gamma': 'scale'}",-59.57882308121363,-34.88176116317789,-60.71647434767659,-50.15615716945594,-51.333303940381015,10.344943294487262,3
0.028022587299346924,0.009753326994625423,0.005207955837249756,0.0004684090046987809,500,0.2,scale,"{'model__C': 500, 'model__epsilon': 0.2, 'model__gamma': 'scale'}",-59.61528019877404,-34.88282637669979,-60.74315479297327,-50.15464316119496,-51.34897613241052,10.357882199655677,4
0.03062129020690918,0.009737774707370948,0.005425095558166504,0.0006074996275536414,500,0.01,0.1,"{'model__C': 500, 'model__epsilon': 0.01, 'model__gamma': 0.1}",-59.33993766599737,-35.43673179908481,-61.49129629969609,-50.02344146630557,-51.57285180777096,10.264967184670173,5
0.031226813793182373,0.011163306826676692,0.005300700664520264,0.0004618260921972209,500,0.05,0.1,"{'model__C': 500, 'model__epsilon': 0.05, 'model__gamma': 0.1}",-59.34773862536374,-35.43078542613478,-61.52592766304553,-50.01969169743679,-51.581035852995214,10.277292073916222,6
0.028666138648986816,0.008392997599131253,0.004919111728668213,7.09755681978292e-05,500,0.1,0.1,"{'model__C': 500, 'model__epsilon': 0.1, 'model__gamma': 0.1}",-59.35736867875933,-35.42246669462305,-61.57085810376018,-50.01352332008202,-51.59105419930614,10.29349250906392,7
0.02710425853729248,0.008558847378604873,0.005145907402038574,0.0007699439350026138,500,0.01,auto,"{'model__C': 500, 'model__epsilon': 0.01, 'model__gamma': 'auto'}",-60.46777929612802,-34.90942727070077,-60.51108692161145,-50.56357181159355,-51.61296632500844,10.460565337121666,8
0.029643714427947998,0.00890950566952043,0.005338072776794434,0.0002680808072332499,500,0.2,0.1,"{'model__C': 500, 'model__epsilon': 0.2, 'model__gamma': 0.1}",-59.38016606214002,-35.41378865501323,-61.66245603742725,-49.99638442663244,-51.61319879530323,10.324102009842878,9
0.027525663375854492,0.009507698732917402,0.005470395088195801,9.080594997467691e-05,500,0.05,auto,"{'model__C': 500, 'model__epsilon': 0.05, 'model__gamma': 'auto'}",-60.45600723645075,-34.920307715481506,-60.522701086948494,-50.55942917318712,-51.614611303016964,10.456308230563936,10
0.02608358860015869,0.007267910150648996,0.005269408226013184,0.00014768529958863365,500,0.1,auto,"{'model__C': 500, 'model__epsilon': 0.1, 'model__gamma': 'auto'}",-60.44077787221364,-34.93335575569185,-60.5349378464088,-50.55565223978018,-51.61618092852362,10.450587459873072,11
0.027163565158843994,0.007868461138551263,0.0056648850440979,0.000368969269653883,500,0.2,auto,"{'model__C': 500, 'model__epsilon': 0.2, 'model__gamma': 'auto'}",-60.40452321639315,-34.96379368628955,-60.561084372828844,-50.55466028165913,-51.621015389292666,10.436414509515412,12
0.016908705234527588,0.0031001995671586565,0.004672050476074219,8.145615329701419e-05,500,0.01,0.01,"{'model__C': 500, 'model__epsilon': 0.01, 'model__gamma': 0.01}",-61.25619160065116,-44.10643678578487,-70.27859104210202,-47.02611351175796,-55.666833235074,10.642476175116991,13
0.017010629177093506,0.0034978126690999507,0.004873096942901611,0.00017655917000647167,500,0.05,0.01,"{'model__C': 500, 'model__epsilon': 0.05, 'model__gamma': 0.01}",-61.2571377830195,-44.09253041803474,-70.28441218923312,-47.037096281047326,-55.66779416783367,10.646149084557585,14
